x_m,y_m,s_m
10.17794,10.70681,4.23954
10.17788,10.72658,4.25953
10.17784,10.74646,4.27953
10.17780,10.76668,4.29953
10.17772,10.78690,4.31953
10.17764,10.80680,4.33952
10.17758,10.82657,4.35952
10.17754,10.84645,4.37952
10.17750,10.86667,4.39952
10.17742,10.88689,4.41952
10.17734,10.90689,4.43951
10.17726,10.92689,4.45951
10.17718,10.94689,4.47951
10.17710,10.96666,4.49951
10.17706,10.98644,4.51951
10.17702,11.00654,4.53950
10.17696,11.02676,4.55950
10.17688,11.04687,4.57950
10.17680,11.06665,4.59950
10.17676,11.08643,4.61949
10.17672,11.10652,4.63949
10.17666,11.12675,4.65949
10.17658,11.14686,4.67949
10.17650,11.16664,4.69949
10.17646,11.18641,4.71948
10.17642,11.20651,4.73948
10.17636,11.22674,4.75948
10.17628,11.24685,4.77948
10.17620,11.26663,4.79947
10.17616,11.28640,4.81947
10.17612,11.30650,4.83947
10.17606,11.32672,4.85947
10.17598,11.34684,4.87947
10.17590,11.36662,4.89946
10.17586,11.38639,4.91946
10.17582,11.40649,4.93946
10.17576,11.42671,4.95946
10.17568,11.44683,4.97945
10.17560,11.46683,4.99945
10.17552,11.48682,5.01945
10.17544,11.50672,5.03945
10.17538,11.52649,5.05945
10.17534,11.54637,5.07944
10.17530,11.56658,5.09944
10.17522,11.58681,5.11944
10.17514,11.60670,5.13944
10.17508,11.62648,5.15943
10.17504,11.64636,5.17943
10.17500,11.66657,5.19943
10.17492,11.68679,5.21943
10.17484,11.70669,5.23943
10.17478,11.72647,5.25942
10.17474,11.74634,5.27942
10.17470,11.76656,5.29942
10.17462,11.78678,5.31942
10.17454,11.80668,5.33942
10.17448,11.82645,5.35941
10.17444,11.84633,5.37941
10.17440,11.86611,5.39941
10.17440,11.88589,5.41941
10.17440,11.90567,5.43940
10.17444,11.92521,5.45940
10.17452,11.94497,5.47940
10.17460,11.96497,5.49940
10.17468,11.98497,5.51940
10.17476,12.00507,5.53939
10.17482,12.02529,5.55939
10.17486,12.04541,5.57939
10.17490,12.06606,5.59939
10.17482,12.08673,5.61938
10.17474,12.10717,5.63938
10.17458,12.12807,5.65938
10.17433,12.14855,5.67938
10.17406,12.17029,5.69938
10.17347,12.19208,5.71937
10.17288,12.21319,5.73937
10.17204,12.23541,5.75937
10.17103,12.25657,5.77937
10.16993,12.27916,5.79936
10.16833,12.30181,5.81936
10.16677,12.32342,5.83936
10.16475,12.34673,5.85935
10.16253,12.36843,5.87935
10.16005,12.39225,5.89935
10.15679,12.41610,5.91935
10.15374,12.43792,5.93935
10.15001,12.46170,5.95934
10.14617,12.48352,5.97934
10.14192,12.50740,5.99934
10.13681,12.53127,6.01933
10.13207,12.55306,6.03933
10.12639,12.57698,6.05932
10.12075,12.59869,6.07932
10.11458,12.62223,6.09932
10.10754,12.64568,6.11932
10.10111,12.66684,6.13932
10.09368,12.68987,6.15931
10.08645,12.71088,6.17931
10.07870,12.73330,6.19931
10.07022,12.75558,6.21930
10.06240,12.77595,6.23930
10.05361,12.79788,6.25930
10.04511,12.81810,6.27929
10.03613,12.83939,6.29929
10.02655,12.86055,6.31929
10.01793,12.87949,6.33929
10.00890,12.89901,6.35928
10.00004,12.91783,6.37928
9.99101,12.93698,6.39928
9.98178,12.95607,6.41928
9.97159,12.97704,6.43928
9.95909,13.00101,6.45926
9.94745,13.02171,6.47926
9.93607,13.04183,6.49926
9.92411,13.06176,6.51926
9.91231,13.08131,6.53925
9.89842,13.10313,6.55925
9.88547,13.12231,6.57924
9.87071,13.14397,6.59924
9.85478,13.16507,6.61924
9.84145,13.18253,6.63924
9.82677,13.20116,6.65923
9.81287,13.21819,6.67923
9.79396,13.24101,6.69923
9.77320,13.26268,6.71922
9.75713,13.27909,6.73922
9.73885,13.29695,6.75921
9.72201,13.31258,6.77921
9.70288,13.33018,6.79921
9.68278,13.34701,6.81920
9.66374,13.36273,6.83920
9.64020,13.38069,6.85918
9.61956,13.39508,6.87918
9.59713,13.41049,6.89918
9.57365,13.42477,6.91917
9.55349,13.43682,6.93917
9.52999,13.44999,6.95916
9.50893,13.46094,6.97916
9.48519,13.47312,6.99915
9.46061,13.48416,7.01915
9.43865,13.49383,7.03915
9.41263,13.50431,7.05913
9.38975,13.51256,7.07913
