x_m,y_m,s_m
9.72794,10.70522,4.23954
9.72788,10.72544,4.25953
9.72784,10.74556,4.27953
9.72780,10.76534,4.29953
9.72772,10.78511,4.31953
9.72764,10.80521,4.33952
9.72758,10.82543,4.35952
9.72754,10.84555,4.37952
9.72750,10.86533,4.39952
9.72742,10.88510,4.41952
9.72734,10.90509,4.43951
9.72726,10.92509,4.45951
9.72718,10.94509,4.47951
9.72710,10.96530,4.49951
9.72706,10.98553,4.51951
9.72702,11.00542,4.53950
9.72696,11.02520,4.55950
9.72688,11.04507,4.57950
9.72680,11.06529,4.59950
9.72676,11.08551,4.61949
9.72672,11.10541,4.63949
9.72666,11.12518,4.65949
9.72658,11.14506,4.67949
9.72650,11.16528,4.69949
9.72646,11.18550,4.71948
9.72642,11.20540,4.73948
9.72636,11.22517,4.75948
9.72628,11.24505,4.77948
9.72620,11.26527,4.79947
9.72616,11.28549,4.81947
9.72612,11.30539,4.83947
9.72606,11.32516,4.85947
9.72598,11.34504,4.87947
9.72590,11.36526,4.89946
9.72586,11.38548,4.91946
9.72582,11.40538,4.93946
9.72576,11.42515,4.95946
9.72568,11.44503,4.97945
9.72560,11.46503,4.99945
9.72552,11.48502,5.01945
9.72544,11.50513,5.03945
9.72538,11.52535,5.05945
9.72534,11.54547,5.07944
9.72530,11.56525,5.09944
9.72522,11.58502,5.11944
9.72514,11.60512,5.13944
9.72508,11.62534,5.15943
9.72504,11.64546,5.17943
9.72500,11.66524,5.19943
9.72492,11.68501,5.21943
9.72484,11.70510,5.23943
9.72478,11.72533,5.25942
9.72474,11.74544,5.27942
9.72470,11.76522,5.29942
9.72462,11.78500,5.31942
9.72454,11.80509,5.33942
9.72448,11.82532,5.35941
9.72444,11.84543,5.37941
9.72440,11.86565,5.39941
9.72440,11.88587,5.41941
9.72440,11.90609,5.43940
9.72444,11.92654,5.45940
9.72452,11.94677,5.47940
9.72460,11.96677,5.49940
9.72468,11.98677,5.51940
9.72476,12.00666,5.53939
9.72482,12.02643,5.55939
9.72486,12.04631,5.57939
9.72490,12.06565,5.59939
9.72482,12.08498,5.61938
9.72475,12.10453,5.63938
9.72460,12.12363,5.65938
9.72436,12.14315,5.67938
9.72415,12.16140,5.69938
9.72364,12.17958,5.71937
9.72312,12.19846,5.73937
9.72245,12.21620,5.75937
9.72155,12.23499,5.77937
9.72073,12.25235,5.79936
9.71948,12.26960,5.81936
9.71817,12.28788,5.83936
9.71675,12.30441,5.85935
9.71488,12.32250,5.87935
9.71328,12.33847,5.89935
9.71106,12.35423,5.91935
9.70859,12.37202,5.93935
9.70613,12.38776,5.95934
9.70302,12.40532,5.97934
9.70032,12.42083,5.99934
9.69700,12.43605,6.01933
9.69325,12.45335,6.03933
9.68970,12.46834,6.05932
9.68526,12.48532,6.07932
9.68136,12.50049,6.09932
9.67683,12.51533,6.11932
9.67165,12.53244,6.13932
9.66680,12.54748,6.15931
9.66100,12.56427,6.17931
9.65573,12.57967,6.19931
9.64994,12.59475,6.21930
9.64344,12.61173,6.23930
9.63735,12.62692,6.25930
9.63034,12.64356,6.27929
9.62381,12.65913,6.29929
9.61686,12.67440,6.31929
9.60891,12.69186,6.33929
9.60115,12.70864,6.35928
9.59297,12.72600,6.37928
9.58495,12.74304,6.39928
9.57676,12.75995,6.41928
9.56951,12.77496,6.43928
9.56354,12.78645,6.45926
9.55553,12.80058,6.47926
