x_m,y_m,s_m,width_m
7.60300,8.51050,0.00000,0.2000
7.60379,8.49041,0.02010,0.2000
7.60458,8.47033,0.04020,0.2000
7.60537,8.45024,0.06030,0.2000
7.60617,8.43016,0.08041,0.2000
7.60698,8.41007,0.10051,0.2000
7.60815,8.39000,0.12061,0.2000
7.60933,8.36994,0.14071,0.2000
7.61034,8.34986,0.16081,0.2000
7.61113,8.32977,0.18091,0.2000
7.61191,8.30969,0.20102,0.2000
7.61272,8.28960,0.22112,0.2000
7.61352,8.26952,0.24122,0.2000
7.61432,8.24943,0.26132,0.2000
7.61510,8.22935,0.28142,0.2000
7.61589,8.20926,0.30152,0.2000
7.61668,8.18917,0.32162,0.2000
7.61747,8.16909,0.34173,0.2000
7.61825,8.14900,0.36183,0.2000
7.61904,8.12891,0.38193,0.2000
7.61983,8.10883,0.40203,0.2000
7.62063,8.08874,0.42213,0.2000
7.62143,8.06866,0.44223,0.2000
7.62223,8.04857,0.46234,0.2000
7.62302,8.02849,0.48244,0.2000
7.62381,8.00840,0.50254,0.2000
7.62460,7.98831,0.52264,0.2000
7.62538,7.96823,0.54274,0.2000
7.62617,7.94814,0.56284,0.2000
7.62698,7.92805,0.58295,0.2000
7.62778,7.90797,0.60305,0.2000
7.62857,7.88788,0.62315,0.2000
7.62936,7.86780,0.64325,0.2000
7.63015,7.84771,0.66335,0.2000
7.63094,7.82762,0.68345,0.2000
7.63172,7.80754,0.70356,0.2000
7.63252,7.78745,0.72366,0.2000
7.63333,7.76737,0.74376,0.2000
7.63419,7.74728,0.76386,0.2000
7.63537,7.72722,0.78396,0.2000
7.63655,7.70715,0.80406,0.2000
7.63749,7.68707,0.82416,0.2000
7.63828,7.66699,0.84427,0.2000
7.63906,7.64690,0.86437,0.2000
7.63985,7.62681,0.88447,0.2000
7.64064,7.60673,0.90457,0.2000
7.64143,7.58664,0.92467,0.2000
7.64224,7.56656,0.94477,0.2000
7.64304,7.54647,0.96488,0.2000
7.64383,7.52638,0.98498,0.2000
7.64462,7.50630,1.00508,0.2000
7.64540,7.48621,1.02518,0.2000
7.64619,7.46613,1.04528,0.2000
7.64698,7.44604,1.06538,0.2000
7.64778,7.42595,1.08549,0.2000
7.64859,7.40587,1.10559,0.2000
7.64938,7.38578,1.12569,0.2000
7.65017,7.36570,1.14579,0.2000
7.65096,7.34561,1.16589,0.2000
7.65174,7.32552,1.18599,0.2000
7.65253,7.30544,1.20610,0.2000
7.65332,7.28535,1.22620,0.2000
7.65411,7.26527,1.24630,0.2000
7.65489,7.24518,1.26640,0.2000
7.65570,7.22509,1.28650,0.2000
7.65650,7.20501,1.30660,0.2000
7.65730,7.18492,1.32670,0.2000
7.65808,7.16484,1.34681,0.2000
7.65887,7.14475,1.36691,0.2000
7.65966,7.12466,1.38701,0.2000
7.66045,7.10458,1.40711,0.2000
7.66124,7.08449,1.42721,0.2000
7.66204,7.06441,1.44731,0.2000
7.66285,7.04432,1.46742,0.2000
7.66396,7.02425,1.48752,0.2000
7.66514,7.00418,1.50762,0.2000
7.66621,6.98411,1.52772,0.2000
7.66700,6.96402,1.54782,0.2000
7.66779,6.94394,1.56792,0.2000
7.66859,6.92385,1.58802,0.2000
7.66939,6.90377,1.60813,0.2000
7.67019,6.88368,1.62823,0.2000
7.67098,6.86360,1.64833,0.2000
7.67176,6.84351,1.66843,0.2000
7.67255,6.82342,1.68853,0.2000
7.67334,6.80334,1.70863,0.2000
7.67413,6.78325,1.72874,0.2000
7.67492,6.76316,1.74884,0.2000
7.67570,6.74308,1.76894,0.2000
7.67650,6.72299,1.78904,0.2000
7.67730,6.70291,1.80914,0.2000
7.67811,6.68282,1.82924,0.2000
7.67889,6.66273,1.84935,0.2000
7.67968,6.64265,1.86945,0.2000
7.68047,6.62256,1.88955,0.2000
7.68126,6.60248,1.90965,0.2000
7.68204,6.58239,1.92975,0.2000
7.68285,6.56230,1.94985,0.2000
7.68365,6.54222,1.96996,0.2000
7.68445,6.52213,1.99006,0.2000
7.68523,6.50205,2.01016,0.2000
7.68602,6.48196,2.03026,0.2000
7.68681,6.46187,2.05036,0.2000
7.68760,6.44179,2.07046,0.2000
7.68838,6.42170,2.09057,0.2000
7.68917,6.40162,2.11067,0.2000
7.68996,6.38153,2.13077,0.2000
7.69076,6.36144,2.15087,0.2000
7.69157,6.34136,2.17097,0.2000
7.69254,6.32128,2.19107,0.2000
7.69372,6.30121,2.21117,0.2000
7.69490,6.28115,2.23128,0.2000
7.69572,6.26106,2.25138,0.2000
7.69651,6.24098,2.27148,0.2000
7.69730,6.22089,2.29158,0.2000
7.69811,6.20081,2.31168,0.2000
7.69891,6.18072,2.33178,0.2000
7.69970,6.16063,2.35189,0.2000
7.70049,6.14055,2.37199,0.2000
7.70128,6.12046,2.39209,0.2000
7.70206,6.10038,2.41219,0.2000
7.70285,6.08029,2.43229,0.2000
7.70365,6.06020,2.45239,0.2000
7.70446,6.04012,2.47249,0.2000
7.70525,6.02003,2.49260,0.2000
7.70604,5.99995,2.51270,0.2000
7.70683,5.97986,2.53280,0.2000
7.70762,5.95977,2.55290,0.2000
7.70840,5.93969,2.57300,0.2000
7.70919,5.91960,2.59310,0.2000
7.70998,5.89951,2.61321,0.2000
7.71077,5.87943,2.63331,0.2000
7.71157,5.85934,2.65341,0.2000
7.71237,5.83926,2.67351,0.2000
7.71317,5.81917,2.69361,0.2000
7.71396,5.79909,2.71371,0.2000
7.71475,5.77900,2.73382,0.2000
7.71553,5.75891,2.75392,0.2000
7.71632,5.73883,2.77402,0.2000
7.71711,5.71874,2.79412,0.2000
7.71791,5.69866,2.81422,0.2000
7.71872,5.67857,2.83432,0.2000
7.71976,5.65850,2.85442,0.2000
7.72095,5.63843,2.87453,0.2000
7.72208,5.61836,2.89463,0.2000
7.72287,5.59827,2.91473,0.2000
7.72366,5.57819,2.93483,0.2000
7.72445,5.55810,2.95493,0.2000
7.72523,5.53802,2.97503,0.2000
7.72602,5.51793,2.99514,0.2000
7.72683,5.49784,3.01524,0.2000
7.72763,5.47776,3.03534,0.2000
7.72842,5.45767,3.05544,0.2000
7.72921,5.43759,3.07554,0.2000
7.73000,5.41750,3.09564,0.2000
