x_m,y_m,s_m,track_width_m
9.95618,9.64614,3.17965,0.4500
9.95610,9.66613,3.19965,0.4500
9.95606,9.68613,3.21965,0.4500
9.95602,9.70613,3.23965,0.4500
9.95596,9.72613,3.25964,0.4500
9.95588,9.74612,3.27964,0.4500
9.95580,9.76612,3.29964,0.4500
9.95576,9.78612,3.31964,0.4500
9.95572,9.80612,3.33963,0.4500
9.95566,9.82611,3.35963,0.4500
9.95558,9.84611,3.37963,0.4500
9.95550,9.86611,3.39963,0.4500
9.95546,9.88611,3.41963,0.4500
9.95542,9.90611,3.43962,0.4500
9.95536,9.92610,3.45962,0.4500
9.95528,9.94610,3.47962,0.4500
9.95520,9.96610,3.49962,0.4500
9.95516,9.98610,3.51961,0.4500
9.95512,10.00609,3.53961,0.4500
9.95506,10.02609,3.55961,0.4500
9.95498,10.04609,3.57961,0.4500
9.95490,10.06609,3.59961,0.4500
9.95486,10.08609,3.61960,0.4500
9.95482,10.10608,3.63960,0.4500
9.95476,10.12608,3.65960,0.4500
9.95468,10.14608,3.67960,0.4500
9.95460,10.16608,3.69959,0.4500
9.95456,10.18607,3.71959,0.4500
9.95452,10.20607,3.73959,0.4500
9.95446,10.22607,3.75959,0.4500
9.95438,10.24607,3.77959,0.4500
9.95430,10.26606,3.79958,0.4500
9.95422,10.28606,3.81958,0.4500
9.95414,10.30606,3.83958,0.4500
9.95408,10.32606,3.85958,0.4500
9.95404,10.34606,3.87958,0.4500
9.95400,10.36605,3.89957,0.4500
9.95392,10.38605,3.91957,0.4500
9.95384,10.40605,3.93957,0.4500
9.95378,10.42605,3.95957,0.4500
9.95374,10.44604,3.97956,0.4500
9.95370,10.46604,3.99956,0.4500
9.95362,10.48604,4.01956,0.4500
9.95354,10.50604,4.03956,0.4500
9.95348,10.52603,4.05956,0.4500
9.95344,10.54603,4.07955,0.4500
9.95340,10.56603,4.09955,0.4500
9.95332,10.58603,4.11955,0.4500
9.95324,10.60603,4.13955,0.4500
9.95318,10.62602,4.15954,0.4500
9.95314,10.64602,4.17954,0.4500
9.95310,10.66602,4.19954,0.4500
9.95302,10.68602,4.21954,0.4500
9.95294,10.70601,4.23954,0.4500
9.95288,10.72601,4.25953,0.4500
9.95284,10.74601,4.27953,0.4500
9.95280,10.76601,4.29953,0.4500
9.95272,10.78600,4.31953,0.4500
9.95264,10.80600,4.33952,0.4500
9.95258,10.82600,4.35952,0.4500
9.95254,10.84600,4.37952,0.4500
9.95250,10.86600,4.39952,0.4500
9.95242,10.88599,4.41952,0.4500
9.95234,10.90599,4.43951,0.4500
9.95226,10.92599,4.45951,0.4500
9.95218,10.94599,4.47951,0.4500
9.95210,10.96598,4.49951,0.4500
9.95206,10.98598,4.51951,0.4500
9.95202,11.00598,4.53950,0.4500
9.95196,11.02598,4.55950,0.4500
9.95188,11.04597,4.57950,0.4500
9.95180,11.06597,4.59950,0.4500
9.95176,11.08597,4.61949,0.4500
9.95172,11.10597,4.63949,0.4500
9.95166,11.12597,4.65949,0.4500
9.95158,11.14596,4.67949,0.4500
9.95150,11.16596,4.69949,0.4500
9.95146,11.18596,4.71948,0.4500
9.95142,11.20596,4.73948,0.4500
