x_m,y_m,s_m,width_m
3.54454,2.40750,1.31254,0.2000
3.56473,2.40750,1.33274,0.2000
3.58492,2.40750,1.35293,0.2000
3.60511,2.40750,1.37312,0.2000
3.62531,2.40750,1.39332,0.2000
3.64550,2.40750,1.41351,0.2000
3.66569,2.40750,1.43370,0.2000
3.68589,2.40750,1.45389,0.2000
3.70608,2.40750,1.47409,0.2000
3.72627,2.40750,1.49428,0.2000
3.74646,2.40750,1.51447,0.2000
3.76666,2.40750,1.53467,0.2000
3.78685,2.40750,1.55486,0.2000
3.80704,2.40750,1.57505,0.2000
3.82724,2.40750,1.59525,0.2000
3.84743,2.40750,1.61544,0.2000
3.86762,2.40750,1.63563,0.2000
3.88782,2.40750,1.65582,0.2000
3.90801,2.40750,1.67602,0.2000
3.92820,2.40750,1.69621,0.2000
3.94839,2.40750,1.71640,0.2000
3.96859,2.40750,1.73660,0.2000
3.98878,2.40750,1.75679,0.2000
4.00897,2.40750,1.77698,0.2000
4.02917,2.40750,1.79718,0.2000
4.04936,2.40750,1.81737,0.2000
4.06955,2.40750,1.83756,0.2000
4.08975,2.40750,1.85775,0.2000
4.10994,2.40750,1.87795,0.2000
4.13013,2.40750,1.89814,0.2000
4.15032,2.40750,1.91833,0.2000
4.17052,2.40750,1.93853,0.2000
4.19071,2.40750,1.95872,0.2000
4.21090,2.40750,1.97891,0.2000
4.23110,2.40750,1.99911,0.2000
4.25129,2.40749,2.01930,0.2000
4.27148,2.40710,2.03949,0.2000
4.29167,2.40670,2.05968,0.2000
4.31186,2.40650,2.07988,0.2000
4.33205,2.40650,2.10007,0.2000
4.35225,2.40650,2.12026,0.2000
4.37244,2.40650,2.14046,0.2000
4.39263,2.40650,2.16065,0.2000
4.41282,2.40650,2.18084,0.2000
4.43302,2.40650,2.20103,0.2000
4.45321,2.40650,2.22123,0.2000
4.47340,2.40650,2.24142,0.2000
4.49360,2.40650,2.26161,0.2000
4.51379,2.40650,2.28181,0.2000
4.53398,2.40650,2.30200,0.2000
4.55418,2.40650,2.32219,0.2000
4.57437,2.40650,2.34239,0.2000
4.59456,2.40650,2.36258,0.2000
4.61475,2.40650,2.38277,0.2000
4.63495,2.40650,2.40296,0.2000
4.65514,2.40650,2.42316,0.2000
4.67533,2.40650,2.44335,0.2000
4.69553,2.40650,2.46354,0.2000
4.71572,2.40650,2.48374,0.2000
4.73591,2.40650,2.50393,0.2000
4.75611,2.40650,2.52412,0.2000
4.77630,2.40650,2.54432,0.2000
4.79649,2.40650,2.56451,0.2000
4.81668,2.40650,2.58470,0.2000
4.83688,2.40650,2.60489,0.2000
4.85707,2.40650,2.62509,0.2000
4.87726,2.40650,2.64528,0.2000
4.89746,2.40650,2.66547,0.2000
4.91765,2.40650,2.68567,0.2000
4.93784,2.40650,2.70586,0.2000
4.95804,2.40650,2.72605,0.2000
4.97823,2.40650,2.74625,0.2000
4.99842,2.40650,2.76644,0.2000
5.01861,2.40650,2.78663,0.2000
5.03881,2.40650,2.80682,0.2000
5.05900,2.40650,2.82702,0.2000
